Feature_ID,VIP,Group_Contribution,mz,RT,Correlation_ID,Spectrum_ID,Compound_Name,Adduct,Putative_BA
21188,1.960,Regular chow,344.2799,3.264,663,NA,NA,NA,NA
11368,1.955,Regular chow,256.1911,1.766,597,NA,NA,NA,NA
2952,1.950,High Fat Diet,306.1549,0.472,NA,NA,NA,NA,NA
9778,1.948,Regular chow,279.1457,1.577,NA,NA,NA,NA,NA
23128,1.945,Regular chow,344.2798,3.616,NA,NA,NA,NA,NA
7323,1.944,Regular chow,157.6076,1.253,793,NA,NA,NA,NA
5352,1.943,Regular chow,299.1242,0.885,402,NA,NA,NA,NA
14609,1.941,Regular chow,135.1174,2.189,670,NA,NA,NA,NA
5938,1.941,Regular chow,200.1404,0.991,NA,NA,NA,NA,NA
10914,1.937,Regular chow,435.1292,1.708,597,NA,NA,NA,NA
6688,1.935,Regular chow,134.6052,1.253,793,NA,NA,NA,NA
14225,1.930,Regular chow,258.2067,2.137,147,NA,NA,NA,NA
24488,1.929,Regular chow,491.3114,3.947,NA,NA,NA,NA,NA
792,1.927,Regular chow,168.0771,0.229,332,NA,NA,NA,NA
29714,1.926,Regular chow,683.5077,5.142,24,NA,NA,NA,NA
14094,1.926,Regular chow,182.1295,2.123,147,NA,NA,NA,NA
13455,1.924,Regular chow,192.0663,2.036,34,CCMSLIB00010102110,2-oxindole-3-acetic acid CollisionEnergy:102040,M+H,NA
27413,1.924,Regular chow,315.2533,4.615,59,CCMSLIB00003135516,"Spectral Match to 9,10-Dihydroxy-12Z-octadecenoic acid from NIST14",M+H,NA
1799,1.923,Regular chow,154.0979,0.301,332,CCMSLIB00012715476,Candidate Histamine-C2:0 (delta mass:42.0109),M+H,NA
21006,1.922,Regular chow,309.0873,3.228,NA,NA,NA,NA,NA
24219,1.920,Regular chow,379.2960,3.906,NA,NA,NA,NA,NA
17011,1.919,High Fat Diet,307.1658,2.544,73,NA,NA,NA,NA
4308,1.916,Regular chow,264.1013,0.694,NA,NA,NA,NA,NA
1505,1.914,High Fat Diet,278.1238,0.289,NA,NA,NA,NA,NA
3414,1.907,Regular chow,156.1134,0.554,27,NA,NA,NA,NA
27204,1.903,High Fat Diet,254.2481,4.573,844,NA,NA,NA,NA
3085,1.903,Regular chow,231.1448,0.452,360,NA,NA,NA,NA
29915,1.903,Regular chow,311.2584,5.208,24,CCMSLIB00005722082,"NCGC00385642-01!1,4-dihydroxyheptadec-16-en-2-yl acetate [IIN-based: Match]",[M-H2O+H]+,NA
13867,1.901,High Fat Diet,316.1217,2.090,NA,NA,NA,NA,NA
2294,1.901,Regular chow,230.1138,0.343,NA,NA,NA,NA,NA
21157,1.900,Regular chow,326.2691,3.257,663,NA,NA,NA,NA
29679,1.899,Regular chow,329.2690,5.150,24,CCMSLIB00004699632,"1,2-dihydroxyheptadec-16-en-4-yl acetate",[M+H]+,NA
6424,1.898,High Fat Diet,350.1814,1.071,NA,NA,NA,NA,NA
32874,1.898,Regular chow,616.5160,5.654,33,NA,NA,NA,NA
27504,1.898,Regular chow,297.2428,4.671,59,CCMSLIB00003135128,"Spectral Match to 9,10-Dihydroxy-12Z-octadecenoic acid from NIST14",M+H-H2O,NA
9354,1.895,Regular chow,174.6001,1.532,695,NA,NA,NA,NA
32959,1.895,High Fat Diet,389.3060,5.668,439,NA,NA,NA,NA
14956,1.894,Regular chow,146.0605,2.195,NA,NA,NA,NA,NA
27289,1.893,Regular chow,303.2533,4.590,354,NA,NA,NA,NA
27940,1.893,Regular chow,337.2358,4.672,59,CCMSLIB00010259544,"""Candidate Trihydroxylated bile acid (delta mass -72.0579; sirius atomic difference: -4C, -8H, -1O; buddy atomic difference: -4C, -8H, -1O)""",M+H,NA
19834,1.891,High Fat Diet,468.2504,2.996,NA,NA,NA,NA,NA
28574,1.890,High Fat Diet,288.2900,4.895,1,NA,NA,NA,NA
10274,1.890,Regular chow,208.0611,1.638,588,NA,NA,NA,NA
15936,1.889,Regular chow,235.1080,2.376,604,NA,NA,NA,NA
13491,1.888,Regular chow,146.0606,2.035,34,NA,NA,NA,NA
29725,1.888,Regular chow,351.2522,5.153,24,NA,NA,NA,NA
23456,1.887,Regular chow,333.2637,3.705,109,CCMSLIB00010260923,"""Candidate Pentahydroxylated bile acid (delta mass -108.0217; sirius atomic difference: -6C, -4H, -2O; buddy atomic difference: -6C, -4H, -2O)""",M+H,NA
7179,1.887,Regular chow,190.0505,1.233,NA,CCMSLIB00010122507,2-Hydroxyquinoline-4-carboxylic acid CollisionEnergy:205060,M+H,NA
1919,1.885,Regular chow,145.1341,0.325,332,NA,NA,NA,NA
24405,1.884,Regular chow,383.3273,3.933,NA,NA,NA,NA,NA
30410,1.884,High Fat Diet,328.3214,5.305,NA,NA,NA,NA,NA
14028,1.884,Regular chow,253.1802,2.108,670,NA,NA,NA,NA
10883,1.882,Regular chow,285.1090,1.706,597,NA,NA,NA,NA
14027,1.881,Regular chow,223.1696,2.114,670,NA,NA,NA,NA
8379,1.880,Regular chow,210.1135,1.419,NA,NA,NA,NA,NA
31269,1.878,High Fat Diet,461.3630,5.440,713,NA,NA,NA,NA
2118,1.877,Regular chow,170.0815,0.337,332,NA,NA,NA,NA
2045,1.876,Regular chow,168.1135,0.337,332,CCMSLIB00012715556,Candidate Histamine-C3:0 (delta mass:56.0267),M+H,NA
31461,1.876,Regular chow,500.4103,5.469,137,NA,NA,NA,NA
21424,1.875,High Fat Diet,698.3227,3.120,NA,NA,NA,NA,NA
10152,1.875,Regular chow,193.1708,1.620,NA,NA,NA,NA,NA
2066,1.875,Regular chow,259.1291,0.375,332,NA,NA,NA,NA
19668,1.873,High Fat Diet,611.2675,2.948,387,CCMSLIB00010221050,"""Candidate Tetrahydroxylated bile acid (delta mass 185.9778; sirius atomic difference: 6C, -2H, 6N, 1S)""",M+H,Tetrahydroxylated bile acid_l-cystine [M-2H2O+H]+
27285,1.872,Regular chow,279.2321,4.571,59,CCMSLIB00003134722,Spectral Match to 9(10)-EpOME from NIST14,M+H-H2O,NA
2511,1.872,Regular chow,204.1241,0.406,NA,NA,NA,NA,NA
33139,1.869,High Fat Diet,370.3320,5.711,414,CCMSLIB00012717623,Candidate Leucine-C16:0 (delta mass:238.2298),M+H,NA
35598,1.869,High Fat Diet,428.3737,6.396,NA,CCMSLIB00005738771,Massbank:RP025602 Stearoyl-L-Carnitine|stearoylcarnitine|3-octadecanoyloxy-4-(trimethylazaniumyl)butanoate,M+H,NA
22306,1.868,High Fat Diet,433.3326,3.438,NA,NA,NA,NA,NA
30255,1.868,Regular chow,448.3649,5.253,419,NA,NA,NA,NA
29007,1.868,High Fat Diet,301.2934,4.991,164,NA,NA,NA,NA
15535,1.868,High Fat Diet,323.1607,2.322,304,NA,NA,NA,NA
4119,1.865,Regular chow,204.1238,0.612,16,NA,NA,NA,NA
1489,1.865,Regular chow,112.0873,0.270,NA,NA,NA,NA,NA
5559,1.863,Regular chow,210.1133,0.941,NA,NA,NA,NA,NA
29700,1.862,Regular chow,346.2956,5.136,24,NA,NA,NA,NA
27417,1.862,Regular chow,332.2800,4.603,59,NA,NA,NA,NA
30752,1.862,High Fat Diet,400.3429,5.337,491,CCMSLIB00003135535,Spectral Match to Palmitoylcarnitine from NIST14,M+H,NA
16330,1.860,Regular chow,422.7430,2.442,66,NA,NA,NA,NA
30695,1.859,High Fat Diet,401.3457,5.337,491,NA,NA,NA,NA
4019,1.859,Regular chow,315.1670,0.603,16,NA,NA,NA,NA
32686,1.858,Regular chow,459.3826,5.536,137,NA,NA,NA,NA
33913,1.858,High Fat Diet,475.3322,5.881,NA,NA,NA,NA,NA
32496,1.858,High Fat Diet,396.3477,5.737,NA,CCMSLIB00012717904,Candidate Leucine-C18:1 (delta mass:264.2453),M+H,NA
33701,1.857,Regular chow,432.3600,5.814,212,NA,NA,NA,NA
13859,1.857,High Fat Diet,289.0975,2.089,NA,NA,NA,NA,NA
27567,1.857,Regular chow,330.2642,4.649,771,NA,NA,NA,NA
28388,1.857,High Fat Diet,286.2743,4.871,504,CCMSLIB00000077201,C17_Sphingosine ,M+H,NA
2399,1.856,Regular chow,140.0825,0.348,NA,NA,NA,NA,NA
33996,1.854,High Fat Diet,461.3625,5.868,111,NA,NA,NA,NA
8183,1.854,Regular chow,281.1500,1.469,597,NA,NA,NA,NA
20202,1.854,Regular chow,337.2374,3.074,NA,CCMSLIB00010259544,"""Candidate Trihydroxylated bile acid (delta mass -72.0579; sirius atomic difference: -4C, -8H, -1O; buddy atomic difference: -4C, -8H, -1O)""",M+H,NA
27679,1.853,Regular chow,298.2464,4.720,59,NA,NA,NA,NA
29687,1.853,Regular chow,344.2800,5.244,NA,NA,NA,NA,NA
33048,1.853,High Fat Diet,382.3322,5.687,285,CCMSLIB00012717724,Candidate 2-aminovaleric acid-C18:1 (delta mass:264.2456),M+H,NA
31180,1.851,High Fat Diet,443.3525,5.415,713,NA,NA,NA,NA
18814,1.851,Regular chow,395.2908,2.827,802,NA,NA,NA,NA
29881,1.850,Regular chow,279.2321,5.205,24,NA,NA,NA,NA
29058,1.850,High Fat Diet,300.2900,4.996,164,CCMSLIB00003138153,Spectral Match to D-erythro-C18-Sphingosine from NIST14,M+H,NA
20330,1.848,Regular chow,345.2274,3.084,NA,NA,NA,NA,NA
31288,1.848,High Fat Diet,414.3587,5.429,NA,NA,NA,NA,NA
28401,1.848,Regular chow,279.2322,4.831,NA,CCMSLIB00003134722,Spectral Match to 9(10)-EpOME from NIST14,M+H-H2O,NA
27402,1.847,Regular chow,356.2803,4.627,59,NA,NA,NA,NA
32500,1.846,Regular chow,441.3732,5.552,137,CCMSLIB00010231551,"""Candidate Monohydroxylated bile acid (delta mass 64.0675; sirius atomic difference: 6C, 8H, -1O; buddy atomic difference: 6C, 8H, -1O)""",M+H,NA
23142,1.846,Regular chow,369.2258,3.592,364,NA,NA,NA,NA
18835,1.846,Regular chow,385.2207,2.821,NA,NA,NA,NA,NA
29625,1.846,Regular chow,297.2428,5.109,24,CCMSLIB00003136100,Spectral Match to 9(10)-EpOME from NIST14,M+H,NA
14754,1.845,Regular chow,227.1281,2.194,768,NA,NA,NA,NA
24746,1.845,Regular chow,309.2055,4.005,201,NA,NA,NA,NA
29064,1.844,High Fat Diet,282.2794,4.998,164,CCMSLIB00003135022,Spectral Match to N-Tetracosenoyl-4-sphingenine from NIST14,M+H-C24H44O-H2O,NA
16909,1.843,Regular chow,309.2064,2.541,689,NA,NA,NA,NA
21988,1.842,Regular chow,209.0814,3.428,498,NA,NA,NA,NA
26235,1.842,Regular chow,347.2796,4.334,94,NA,NA,NA,NA
2567,1.840,Regular chow,170.0815,0.398,332,NA,NA,NA,NA
28261,1.840,High Fat Diet,268.2638,4.828,504,CCMSLIB00003138187,Spectral Match to Heptadecasphing-4-enine from NIST14,M+H-H2O,NA
21603,1.839,High Fat Diet,389.2698,3.345,119,CCMSLIB00010242184,"""Candidate Tetrahydroxylated bile acid (delta mass -36.0215; sirius atomic difference: -4H, -2O; buddy atomic difference: -4H, -2O; spectral library match to CCMSLIB00005465059, """"(4R)-4-((3R,5R,6R,7S,9S,10R,12S,13R,14S,17R)-3,6,7,12-tetrahydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"""")""",M+H,NA
3018,1.839,Regular chow,323.1828,0.471,NA,NA,NA,NA,NA
29575,1.839,Regular chow,457.3677,5.152,95,NA,NA,NA,NA
33922,1.839,High Fat Diet,448.3819,5.895,111,NA,NA,NA,NA
23481,1.838,Regular chow,353.2304,3.704,521,CCMSLIB00010249684,"""Candidate Tetrahydroxylated bile acid (delta mass -72.0416; sirius atomic difference: -8H, -4O; buddy atomic difference: -8H, -4O)""",M+H,NA
13101,1.838,Regular chow,162.0552,1.975,670,NA,NA,NA,NA
1033,1.838,Regular chow,189.1604,0.246,NA,NA,NA,NA,NA
31919,1.838,Regular chow,309.2428,5.544,329,NA,NA,NA,NA
33390,1.837,High Fat Diet,397.3510,5.738,NA,NA,NA,NA,NA
27820,1.837,Regular chow,338.2389,4.663,59,NA,NA,NA,NA
23970,1.836,Regular chow,307.2636,3.846,162,NA,NA,NA,NA
26534,1.836,Regular chow,362.2902,4.394,54,NA,NA,NA,NA
30233,1.836,Regular chow,453.3186,5.256,419,NA,NA,NA,NA
33941,1.836,High Fat Diet,443.3525,5.867,111,NA,NA,NA,NA
2380,1.835,High Fat Diet,222.0797,0.395,NA,NA,NA,NA,NA
22580,1.835,High Fat Diet,517.3325,3.569,NA,CCMSLIB00010223241,"""Candidate Dihydroxylated bile acid (delta mass 124.0319; buddy atomic difference: 5C, 4H, 2N, 2O; spectral library match to CCMSLIB00006680044, TAUROURSODEOXYCHOLIC ACID)""",M+H,NA
26394,1.835,Regular chow,503.3371,4.376,100,NA,NA,NA,NA
28594,1.835,Regular chow,461.3626,4.925,25,CCMSLIB00010229795,"""Candidate Trihydroxylated bile acid (delta mass 52.067; sirius atomic difference: 5C, 8H, -1O; buddy atomic difference: 5C, 8H, -1O)""",M+H,NA
30189,1.835,Regular chow,309.2427,5.255,NA,NA,NA,NA,NA
13504,1.835,Regular chow,184.1451,2.040,597,NA,NA,NA,NA
3551,1.834,Regular chow,228.0506,0.577,469,NA,NA,NA,NA
23206,1.834,Regular chow,311.2220,3.627,364,NA,NA,NA,NA
29600,1.833,Regular chow,439.3587,5.117,95,CCMSLIB00010231616,"""Candidate Pentahydroxylated bile acid (delta mass -1.9264; buddy atomic difference: 6C, 6H, -5O)""",M+H,NA
16539,1.833,High Fat Diet,337.1766,2.620,251,NA,NA,NA,NA
28472,1.833,Regular chow,330.2643,4.854,52,NA,NA,NA,NA
16898,1.833,Regular chow,385.2206,2.539,689,NA,NA,NA,NA
22522,1.832,Regular chow,353.2312,3.500,467,NA,NA,NA,NA
21778,1.832,High Fat Diet,371.2597,3.368,119,CCMSLIB00010246835,"""Candidate Tetrahydroxylated bile acid (delta mass -54.0314; sirius atomic difference: -6H, -3O; buddy atomic difference: -6H, -3O)""",M+H,NA
21880,1.832,High Fat Diet,595.2734,3.346,NA,CCMSLIB00010221431,"""Candidate Trihydroxylated bile acid (delta mass 185.9787; sirius atomic difference: 5C, 2H, 2N, 4O, 1S; buddy atomic difference: 2C, -2H, 6N, 5O)""",M+H,NA
29075,1.831,Regular chow,441.3370,4.970,24,NA,NA,NA,NA
25532,1.831,Regular chow,381.3132,4.204,NA,NA,NA,NA,NA
18363,1.831,High Fat Diet,337.1766,2.661,251,NA,NA,NA,NA
8507,1.831,Regular chow,418.7118,1.438,597,NA,NA,NA,NA
25632,1.829,Regular chow,385.3429,4.203,NA,NA,NA,NA,NA
34905,1.829,High Fat Diet,428.3740,6.249,NA,CCMSLIB00005738771,Massbank:RP025602 Stearoyl-L-Carnitine|stearoylcarnitine|3-octadecanoyloxy-4-(trimethylazaniumyl)butanoate,M+H,NA
20137,1.829,Regular chow,347.2429,3.026,NA,NA,NA,NA,NA
23579,1.829,Regular chow,353.2301,3.765,NA,CCMSLIB00010249684,"""Candidate Tetrahydroxylated bile acid (delta mass -72.0416; sirius atomic difference: -8H, -4O; buddy atomic difference: -8H, -4O)""",M+H,NA
30273,1.827,Regular chow,322.2744,5.256,419,NA,NA,NA,NA
19969,1.827,High Fat Diet,364.2235,2.936,518,NA,NA,NA,NA
25407,1.826,High Fat Diet,448.3432,4.151,NA,CCMSLIB00010230377,"""Candidate Tetrahydroxylated bile acid (delta mass 23.0529; sirius atomic difference: 3C, 5H, 1N, -2O; buddy atomic difference: 3C, 5H, 1N, -2O)""",M+H,NA
14564,1.826,Regular chow,476.3071,2.182,696,NA,NA,NA,NA
21782,1.825,High Fat Diet,394.2592,3.363,260,CCMSLIB00010238893,"""Candidate Pentahydroxylated bile acid (delta mass -47.0251; sirius atomic difference: -2C, -5H, 1N, -2O; buddy atomic difference: -1C, -9H, 5N, -6O)""",M+H,NA
33075,1.825,High Fat Diet,165.0912,5.691,439,CCMSLIB00003135839,Spectral Match to .alpha.-CMBHC from NIST14,165.1,NA
31224,1.825,High Fat Diet,427.3596,5.408,NA,NA,NA,NA,NA
30142,1.825,Regular chow,300.2622,5.243,26,NA,NA,NA,NA
8645,1.825,High Fat Diet,326.0381,1.451,NA,NA,NA,NA,NA
25548,1.825,Regular chow,297.2428,4.183,308,CCMSLIB00003135128,"Spectral Match to 9,10-Dihydroxy-12Z-octadecenoic acid from NIST14",M+H-H2O,NA
23811,1.824,Regular chow,395.2921,3.808,NA,NA,NA,NA,NA
18961,1.824,High Fat Diet,478.2622,2.891,NA,CCMSLIB00010227005,"""Candidate Tetrahydroxylated bile acid (delta mass 52.9721; buddy atomic difference: 2C, -1H, 1N, -1O, 1S; spectral library match to CCMSLIB00005465790, """"2-((4R)-4-((5R,7R,8R,9S,10S,12S,13R,17R)-7,12-dihydroxy-10,13-dimethyl-3-oxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid"""")""",M+H,Tetrahydroxylated bile acid_taurine [M-3H2O+H]+
17384,1.824,High Fat Diet,359.1583,2.608,251,NA,NA,NA,NA
30327,1.823,Regular chow,296.2306,5.261,419,NA,NA,NA,NA
24033,1.822,Regular chow,271.2271,3.858,122,NA,NA,NA,NA
19087,1.822,High Fat Diet,496.2729,2.895,NA,CCMSLIB00010224590,"""Candidate Tetrahydroxylated bile acid (delta mass 70.9831; sirius atomic difference: 2C, 1H, 1N, 1S; buddy atomic difference: 6C, -7H, 5N, -4O; spectral library match to CCMSLIB00005788121, Oxo-taurocholenic acid or isomer  putative)""",M+H,Tetrahydroxylated bile acid_taurine [M-2H2O+H]+
4283,1.821,Regular chow,217.0644,0.689,NA,NA,NA,NA,NA
27973,1.821,High Fat Diet,503.3713,4.756,NA,NA,NA,NA,NA
27399,1.821,Regular chow,95.0856,4.628,59,NA,NA,NA,NA
31367,1.821,High Fat Diet,479.3733,5.423,NA,CCMSLIB00010226719,"""Candidate Trihydroxylated bile acid (delta mass 70.0788; sirius atomic difference: 5C, 10H; buddy atomic difference: 5C, 10H)""",M+H,NA
22365,1.820,High Fat Diet,366.1956,3.477,119,CCMSLIB00010248073,"""Candidate Pentahydroxylated bile acid (delta mass -75.0938; sirius atomic difference: -9C, -17H, 7N, -3O; buddy atomic difference: -5C, -13H, 1N, -1O)""",M+H,NA
22346,1.819,High Fat Diet,428.2104,3.485,722,NA,NA,NA,NA
19253,1.818,Regular chow,411.2368,2.890,NA,NA,NA,NA,NA
24809,1.818,High Fat Diet,426.3218,4.014,224,CCMSLIB00010233596,"""Candidate Trihydroxylated bile acid (delta mass 17.0262; buddy atomic difference: 3H, 1N; spectral library match to CCMSLIB00003137151, Spectral Match to Cholic acid from NIST14)""",M+H,NA
12703,1.818,Regular chow,269.1755,1.910,627,NA,NA,NA,NA
23260,1.818,High Fat Diet,425.2892,3.624,NA,CCMSLIB00010233968,"""Candidate Tetrahydroxylated bile acid (delta mass -0.0005; sirius atomic difference:; buddy atomic difference: ; spectral library match to CCMSLIB00005465094, """"(4R)-4-((3R,5S,6R,7R,9S,10R,12S,13R,14S,17R)-3,6,7,12-tetrahydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"""")""",M+H,NA
20351,1.817,Regular chow,255.0654,3.095,NA,NA,NA,NA,NA
30647,1.817,Regular chow,607.4554,5.415,225,NA,NA,NA,NA
3305,1.816,High Fat Diet,341.1210,0.539,685,NA,NA,NA,NA
19474,1.816,High Fat Diet,319.1656,2.938,518,NA,NA,NA,NA
1521,1.815,Regular chow,219.0357,0.290,339,NA,NA,NA,NA
6658,1.814,Regular chow,301.1513,1.150,261,NA,NA,NA,NA
8652,1.814,Regular chow,227.1509,1.451,NA,NA,NA,NA,NA
30165,1.814,Regular chow,299.2584,5.249,NA,NA,NA,NA,NA
37139,1.813,High Fat Diet,445.3681,6.937,215,NA,NA,NA,NA
30316,1.813,Regular chow,295.2271,5.261,419,CCMSLIB00003136352,"Spectral Match to 9-Oxo-10E,12Z-octadecadienoic acid from NIST14",M+H,NA
31954,1.813,Regular chow,277.2165,5.536,329,NA,NA,NA,NA
10554,1.812,Regular chow,310.1479,1.657,NA,NA,NA,NA,NA
31079,1.812,High Fat Diet,283.2635,5.392,0,CCMSLIB00003136765,Spectral Match to Elaidic acid from NIST14,M+H,NA
