sample_name	anonymized_name	cage_food_consumption_g	cage_location	cage_notes	cage_number	collection_timestamp	description	diet	dna_extracted	dob	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	experiment_duration	exposure_start	exposure_type	general_notes	genotype	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_product	host_body_site	host_life_stage	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	latitude	longitude	metabolomics_sample_id	mouse_notes	mouse_number	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_name_orit	sample_type	scientific_name	sex	taxon_id	timepoint	title	treatment	diet_short	diet_exp
11548.A15.85.1	A15.85.1	not applicable	on shelf	fighting cage	A15	9/26/17 11:00	Mouse 85 baseline stool collection 1 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	10	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 85	10090	26.5	g	32.842	-117.258	A15_85_01		85	UCSDMI	TRUE	11548	a15.85.1	feces	mouse gut metagenome	male	410661		10 week IHC		RC	RC_AIR
11548.A15.85.10	A15.85.10	64	on shelf	started changing air cages 4x/wk 10/26/2017	A15	10/27/17 11:00	Mouse 85 stool collection 10 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	14.5	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 85	10090	28.7	g	32.842	-117.258	A15_85_10		85	UCSDMI	TRUE	11548	a15.85.10	feces	mouse gut metagenome	male	410661	not provided	10 week IHC	not provided	RC	RC_AIR
11548.A15.85.10.b	A15.85.10	64	on shelf	started changing air cages 4x/wk 10/26/2017	A15	10/27/17 11:00	Mouse 85 stool collection 10 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	14.5	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 85	10090	28.7	g	32.842	-117.258	A15_85_10		85	UCSDMI	TRUE	11548	a15.85.10	feces	mouse gut metagenome	male	410661	not provided	10 week IHC	not provided	RC	RC_AIR
11548.A15.85.11	A15.85.11	96.7	on shelf		A15	10/31/17 11:00	Mouse 85 stool collection 11 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	15	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 85	10090	29	g	32.842	-117.258	A15_85_11		85	UCSDMI	TRUE	11548	a15.85.11	feces	mouse gut metagenome	male	410661	not provided	10 week IHC	not provided	RC	RC_AIR
11548.A15.85.11.b	A15.85.11	96.7	on shelf		A15	10/31/17 11:00	Mouse 85 stool collection 11 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	15	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 85	10090	29	g	32.842	-117.258	A15_85_11		85	UCSDMI	TRUE	11548	a15.85.11	feces	mouse gut metagenome	male	410661	not provided	10 week IHC	not provided	RC	RC_AIR
11548.A15.85.12	A15.85.12	64.7	on shelf		A15	11/3/17 11:00	Mouse 85 stool collection 12 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	15.5	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 85	10090	29.4	g	32.842	-117.258	A15_85_12		85	UCSDMI	TRUE	11548	a15.85.12	feces	mouse gut metagenome	male	410661	not provided	10 week IHC	not provided	RC	RC_AIR
11548.A15.85.12.b	A15.85.12	64.7	on shelf		A15	11/3/17 11:00	Mouse 85 stool collection 12 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	15.5	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 85	10090	29.4	g	32.842	-117.258	A15_85_12		85	UCSDMI	TRUE	11548	a15.85.12	feces	mouse gut metagenome	male	410661	not provided	10 week IHC	not provided	RC	RC_AIR
11548.A15.85.13	A15.85.13	94.4	on shelf		A15	11/7/17 11:00	Mouse 85 stool collection 13 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	16	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 85	10090	30	g	32.842	-117.258	A15_85_13		85	UCSDMI	TRUE	11548	A15.85.13	feces	mouse gut metagenome	male	410661		10 week IHC		RC	RC_AIR
11548.A15.85.14	A15.85.14	69	on shelf		A15	11/7/17 11:00	Mouse 85 stool collection 14 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	16.5	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 85	10090	30	g	32.842	-117.258	A15_85_14		85	UCSDMI	TRUE	11548	A15.85.14	feces	mouse gut metagenome	male	410661		10 week IHC		RC	RC_AIR
11548.A15.85.15	A15.85.15	95.8	on shelf		A15	11/14/17 11:00	Mouse 85 stool collection 15 of 20	Regular chow	TRUE	7/18/17	193	Host-associated	Animal-associated	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	10 weeks	9/26/17	AIR		ApoE KO	USA:CA:San Diego	17	weeks	UBERON:feces	UBERON:feces	UBERON:feces	adult	Mus musculus	Mouse 85	10090	30.5	g	32.842	-117.258	A15_85_15		85	UCSDMI	TRUE	11548	A15.85.15	feces	mouse gut metagenome	male	410661		10 week IHC		RC	RC_AIR
