"Feature ID"	Log_Ratio_Classification
27413	Denominator
1489	Denominator
29679	Denominator
792	Denominator
13101	Denominator
1799	Denominator
1919	Denominator
27504	Denominator
23456	Denominator
29575	Denominator
27679	Denominator
27417	Denominator
7179	Denominator
29700	Denominator
27285	Denominator
3085	Denominator
29915	Denominator
26534	Denominator
7218	Denominator
2066	Denominator
29600	Denominator
29725	Denominator
14754	Denominator
29687	Denominator
25901	Denominator
27402	Denominator
13455	Denominator
12703	Denominator
32686	Denominator
20165	Denominator
1882	Denominator
27940	Denominator
14956	Denominator
30189	Denominator
25548	Denominator
15157	Denominator
23142	Denominator
25532	Denominator
2118	Denominator
8379	Denominator
24219	Denominator
23481	Denominator
27820	Denominator
26399	Denominator
10554	Denominator
10057	Denominator
5348	Denominator
20694	Denominator
20137	Denominator
2305	Denominator
15936	Denominator
9902	Denominator
31317	Denominator
1976	Denominator
28472	Denominator
23205	Denominator
31487	Denominator
30327	Denominator
23579	Denominator
2252	Denominator
31919	Denominator
26753	Denominator
30358	Denominator
14768	Denominator
28401	Denominator
2511	Denominator
14981	Denominator
22813	Denominator
20202	Denominator
30233	Denominator
19088	Denominator
26394	Denominator
33589	Denominator
6114	Denominator
26235	Denominator
26388	Denominator
15171	Denominator
3636	Denominator
25489	Denominator
3018	Denominator
2399	Denominator
29617	Denominator
4119	Denominator
12646	Denominator
27161	Denominator
25353	Denominator
21988	Denominator
4019	Denominator
29310	Denominator
5559	Denominator
29625	Denominator
1509	Denominator
27567	Denominator
4352	Denominator
27298	Denominator
31951	Denominator
23811	Denominator
2302	Denominator
2950	Denominator
25398	Denominator
10715	Denominator
13491	Denominator
1033	Denominator
30325	Denominator
30165	Denominator
14028	Denominator
11368	Denominator
2294	Denominator
12190	Denominator
28594	Denominator
2513	Denominator
29881	Denominator
33307	Denominator
32500	Denominator
4747	Denominator
4500	Denominator
23206	Denominator
29726	Denominator
3551	Denominator
27398	Denominator
4133	Denominator
1521	Denominator
9487	Denominator
29132	Denominator
28117	Denominator
16898	Denominator
2567	Denominator
9938	Denominator
26566	Denominator
3020	Denominator
27458	Denominator
4322	Denominator
2594	Denominator
1454	Denominator
28079	Denominator
29648	Denominator
26135	Denominator
8350	Denominator
27280	Denominator
27297	Denominator
27210	Denominator
3635	Denominator
2456	Denominator
21188	Denominator
3683	Denominator
16909	Denominator
30977	Denominator
24261	Denominator
26771	Denominator
28335	Denominator
30273	Denominator
24746	Denominator
19979	Denominator
20330	Denominator
10562	Denominator
1879	Denominator
7148	Denominator
1536	Denominator
18835	Denominator
13436	Denominator
16645	Denominator
2280	Denominator
29075	Denominator
22522	Denominator
26154	Denominator
29664	Denominator
9442	Denominator
15656	Denominator
30142	Denominator
29238	Denominator
4735	Denominator
3811	Denominator
26689	Denominator
27594	Denominator
13658	Denominator
8183	Denominator
28293	Denominator
29366	Denominator
3181	Denominator
1887	Denominator
23496	Denominator
1075	Denominator
19328	Denominator
23196	Denominator
23610	Denominator
2045	Denominator
27399	Denominator
20283	Denominator
10295	Denominator
25534	Denominator
17894	Denominator
21309	Denominator
3637	Denominator
8507	Denominator
10274	Denominator
23199	Denominator
3545	Denominator
3174	Denominator
2049	Denominator
6888	Denominator
6554	Denominator
2005	Denominator
22776	Denominator
28583	Denominator
20212	Denominator
3949	Denominator
20351	Denominator
3726	Denominator
20626	Denominator
26314	Denominator
30993	Denominator
15123	Denominator
21006	Denominator
19459	Denominator
20904	Denominator
31862	Denominator
30647	Denominator
23371	Denominator
2699	Denominator
11207	Denominator
19253	Denominator
26954	Denominator
16907	Denominator
31543	Denominator
12741	Denominator
7809	Denominator
3134	Denominator
24426	Denominator
31954	Denominator
33074	Denominator
13585	Denominator
5936	Denominator
20787	Denominator
28195	Denominator
5708	Denominator
22666	Denominator
16522	Denominator
26914	Denominator
2153	Denominator
26140	Denominator
30506	Denominator
29720	Denominator
27132	Denominator
16330	Denominator
1238	Denominator
8377	Denominator
30316	Denominator
25635	Denominator
10323	Denominator
14545	Denominator
966	Denominator
28554	Denominator
20009	Denominator
27943	Denominator
23990	Denominator
1499	Denominator
8779	Denominator
8467	Denominator
25014	Denominator
24359	Denominator
3077	Denominator
4515	Denominator
9583	Denominator
20910	Denominator
22608	Denominator
17013	Denominator
28252	Denominator
30747	Denominator
10317	Denominator
19866	Denominator
26559	Denominator
21948	Denominator
3611	Denominator
20320	Denominator
4077	Denominator
14026	Denominator
18585	Denominator
14225	Denominator
1475	Denominator
30122	Denominator
31461	Denominator
4965	Denominator
26505	Denominator
20213	Denominator
28412	Denominator
14602	Denominator
20657	Denominator
26315	Denominator
29308	Denominator
27543	Denominator
5180	Denominator
7638	Denominator
32874	Denominator
27199	Denominator
8937	Denominator
31607	Denominator
6168	Denominator
6942	Denominator
15417	Denominator
32564	Denominator
5607	Denominator
3336	Denominator
19197	Denominator
15062	Denominator
31253	Denominator
5877	Denominator
21282	Denominator
25982	Denominator
5887	Denominator
33613	Denominator
7004	Denominator
2652	Denominator
13979	Denominator
23236	Denominator
28052	Denominator
23397	Denominator
4872	Denominator
26503	Denominator
30096	Denominator
2164	Denominator
8038	Denominator
30393	Denominator
9760	Denominator
24079	Denominator
17216	Denominator
20976	Denominator
1119	Denominator
3367	Denominator
24392	Denominator
17293	Denominator
3842	Denominator
4582	Denominator
1173	Denominator
15943	Denominator
27749	Denominator
6078	Denominator
1825	Denominator
4027	Denominator
31239	Denominator
34166	Denominator
25527	Denominator
10271	Denominator
26282	Denominator
6164	Denominator
2982	Denominator
2387	Denominator
11356	Denominator
23583	Denominator
29714	Denominator
29221	Denominator
3768	Denominator
26575	Denominator
12192	Denominator
6017	Denominator
28579	Denominator
4277	Denominator
4065	Denominator
27289	Denominator
19293	Denominator
1553	Denominator
25996	Denominator
3721	Denominator
10268	Denominator
21820	Denominator
30583	Denominator
14916	Denominator
20387	Denominator
9778	Denominator
20493	Denominator
7323	Denominator
7007	Denominator
29769	Denominator
22044	Denominator
26415	Denominator
25017	Denominator
27879	Denominator
9405	Denominator
24039	Denominator
30289	Denominator
22604	Denominator
11401	Denominator
31879	Denominator
21304	Denominator
24258	Denominator
28620	Denominator
5755	Denominator
2221	Denominator
27802	Denominator
16247	Denominator
3986	Denominator
27073	Denominator
10234	Denominator
23570	Denominator
27618	Denominator
32197	Denominator
31141	Denominator
24943	Denominator
22820	Denominator
21076	Denominator
2732	Denominator
23467	Denominator
10300	Denominator
9880	Denominator
7425	Denominator
2736	Denominator
4319	Denominator
5907	Denominator
5628	Denominator
28969	Denominator
29212	Denominator
29005	Denominator
19560	Denominator
29206	Denominator
31438	Denominator
29944	Denominator
24640	Denominator
30574	Denominator
19406	Denominator
31337	Denominator
13318	Denominator
1931	Denominator
7868	Denominator
27216	Denominator
21429	Denominator
29232	Denominator
5352	Denominator
13236	Denominator
2123	Denominator
6430	Denominator
10316	Denominator
16075	Denominator
19251	Denominator
27938	Denominator
6226	Denominator
28967	Denominator
29853	Denominator
16934	Denominator
14094	Denominator
2747	Denominator
14831	Denominator
24031	Denominator
30771	Denominator
28396	Denominator
2357	Denominator
18544	Denominator
3878	Denominator
20487	Denominator
20859	Denominator
7237	Denominator
27003	Denominator
27877	Denominator
7469	Denominator
6786	Denominator
16189	Denominator
32752	Denominator
2166	Denominator
7406	Denominator
11293	Denominator
2006	Denominator
29708	Denominator
6359	Denominator
17770	Denominator
29099	Denominator
27975	Denominator
22440	Denominator
22681	Denominator
